Entity1,Relation,Entity2,Frequency,Quality Score,Category
Best Shows,watch,Netflix,2,3.0,Home & Living
Thousands,attend,Proud Boyssponsored Event,2,1.0,U.S. News
Netanyahu,hold,Solid Lead Israeli Elections,2,3.0,World News
Orbit Earth Times,travel,Nearly Million Miles,1,2.0,World News
Moscow,escalate,War,1,3.0,World News
Fiona Barrels,impose,Curfew,1,3.0,World News
Family American,hold,Afghanistan,1,3.0,U.S. News
Freed Taliban Prisoner Swap Mark,kidnap,Afghanistan,1,3.0,U.S. News
First Wnba Title Chelsea Gray,name,Mvp Las Vegas,1,3.0,Sports
Afghans,escape,Taliban,1,3.0,Politics
Kim Kardashians,biochemist,Reality Star,1,4.0,Entertainment
Democrats,nominate,Slated Face Former Cranston Mayor,1,1.0,Politics
Nod Jfk Joe Biden,push,Moonshot Fight Cancer Biden Plans,1,3.0,Politics
Ani Liu,disguise,Art Science Researchbased Artist,1,4.0,Culture & Arts
Harry Styles,pay,Tribute,1,3.0,Entertainment
Iranianmanufactured Drones,use,Ukraine,1,3.0,World News
Fuel Leak,ruin,Nasas,1,3.0,Science
Nasa,delay,Late Countdown,1,3.0,U.S. News
Republicans,ignore,Trumps,1,1.0,Politics
Yung Gravy,bring,Addison Raes,1,4.0,Entertainment
Months,continue,Flooring Weaponsgrade Titanium Russian Corporations,1,3.0,World News
Supreme Court,overturn,Roe,1,3.0,Politics
Markwayne Mullin,win,Oklahoma Republican Primary Succeed Gop,1,3.0,Politics
Markwayne Mullin,win,Supporter,1,3.0,Politics
Irs,launch,Safety Review,1,3.0,Politics
Andrew Garfield,confirm,Method,1,3.0,Entertainment
Russia,begin,War Russian Invasion Ukraine,1,3.0,World News
Police File,accuse,Khan,1,3.0,World News
Mitch Mcconnell,give,Forecast Gop,1,4.0,Politics
Republicans,win,Control November Election,1,1.0,Politics
Trump Org Cfo,plead,Guilty Testify Company,1,4.0,Crime
Trump Org Cfo,plead,Allen Weisselberg,1,4.0,Crime
Nba,host,Election Day Games Effort Increase,1,3.0,Politics
Nba,host,Living States Strict Voter Suppression,1,3.0,Politics
Afghanistan,mark,Oneyear Anniversary,1,3.0,World News
Iran,deny,Involvement Justifies,1,3.0,World News
Whose Interests,defend,Congress,1,3.0,Politics
Shocking Fish Dieoff,send,Poland,1,3.0,Environment
New York Citys Wastewater Weeks,identify,North City,1,3.0,U.S. News
Joe Biden,win,Mount Doubts,1,4.0,Politics
Jayzs American Gangster Album American,tell,Jimmy Fallon,1,3.0,Entertainment
Jayz Poem,end,Films Companion Album,1,4.0,Entertainment
Eastern Kentucky,brace,Storms,1,3.0,U.S. News
Hbo Max,leave,Viewers,1,3.0,Culture & Arts
Hbo Max,leave,Subscribers,1,3.0,Culture & Arts
Paul Pelosi,plead,Guilty Dui Charges,1,4.0,Politics
Lorne Michaels,rumor,Departure,1,3.0,Entertainment
Beyonc,share,Rare Glimpse Kids,1,1.0,Entertainment
Chris Cuomo,return,Cable News,1,4.0,Media
Customs Agent Demanding Season Return,play,Eddie Munson,1,3.0,Entertainment
Jackie Robinson Museum,open,Years,1,3.0,Sports
Steve Bannon,call,Shock Troops,1,4.0,Politics
Steve Bannon,call,Incendiary Rhetoric Nation Days Contempt,1,3.0,Politics
Mira Sorvino,offer,Sweet Tribute Actor Dad Paul,1,3.0,Entertainment
Republicans,begin,Sour Aid,1,1.0,Politics
Dr Caitlin Bernard,list,Website Militant Antiabortion Group Ties,1,3.0,Politics
July Acclaimed Concert,barbra,New York,1,4.0,Entertainment
Us Births,pay,Medicaid Statefederal Health Insurance Program,1,3.0,Politics
Gop,rival,New Jersey Roots,1,3.0,Politics
Texas,sue,Biden Administration,1,3.0,Politics
Cnn,report,Former President,1,3.0,Politics
Cnn,report,Bombshell Testimony,1,3.0,Politics
Nasa,release,Images,1,3.0,U.S. News
Hundreds Families,leave,Thousands,1,1.0,U.S. News
Dee Williams,offer,Condolences Actors Family,1,4.0,Entertainment
Bradford Freeman,fight,Operation Marketgarden Wounded Battle Bulge,1,3.0,U.S. News
Highland Park,shoot,Bizarre Set Reasons,1,2.0,Politics
Decision Adele,tell,Bbc Radio,1,4.0,Entertainment
Supreme Court,shakes,Nation Core Plans,1,4.0,Politics
Joe Biden,suspend,Program,1,3.0,Politics
Joe Biden,suspend,First Day Office,1,4.0,Politics
Former Nazi Guard,jail,Germany,1,3.0,World News
Ben,affleck,Yearold Son,1,3.0,Entertainment
Kendrick Lamar,close,Glastonbury Festival Call Womens Rights,1,3.0,Entertainment
Kendrick Lamar,close,Womens Constitutional Protection Abortion,1,4.0,Entertainment
Shiloh Joliepitt Dances,doja,Cat Viral Studio Clip Daughter,1,3.0,Entertainment
Uvalde Texas Police,attempt,Open Classroom Door,1,4.0,U.S. News
Herschel,disparage,Absent Dads,1,3.0,Politics
Jeff Bridges,share,Powerful Lessons Cancer Covid Bouts,1,3.0,U.S. News
Former President Donald,trump,Fault,1,3.0,Politics
Two Glowed Red Carpet,out,Two Years,1,4.0,Entertainment
Pete Buttigieg,call,Door Solution Mass Shootings Definition,1,3.0,Politics
Dave Chappelle,reveal,Fitting Goodbye,1,4.0,Entertainment
Kim Kardashian,discuss,Pete Davidsons,1,4.0,Entertainment
Michael Avenatti,sentence,Years,1,3.0,U.S. News
Michael Avenatti,sentence,Thousands Dollars Book Proceeds,1,4.0,U.S. News
Michael Avenatti,sentence,Four Years Prison Cheating Client,1,3.0,U.S. News
Smith Chris Rock Reconcile Oscars,slap,Pinkett Smith,1,3.0,Entertainment
Adam Kinzinger,call,Gun Age Limits,1,4.0,Politics
Uvalde Memorial Shame Abbott Crowd,arrive,Bidens School Children,1,3.0,Politics
Netflix Coceo,back,Dave Chappelle,1,4.0,U.S. News
Brian Kemp,win,Gop Nomination,1,4.0,Politics
Decision Perverse Illogical Supreme Court,write,Dissent Shinn V Ramirez,1,3.0,Politics
Americans,reed,Former Us Marine,1,1.0,U.S. News
Russia,tell,Cnn,1,3.0,U.S. News
Sebastian Stan,shade,Musk,1,3.0,Entertainment
Republicans,demand,Civility Strip,1,1.0,Entertainment
Republicans,demand,Civil Rights,1,1.0,Entertainment
John Legend,praise,Brave Chrissy Teigen Sharing Pregnancy,1,3.0,Parenting
Obamacare Premium Hike Subsidy,boost,Millions,1,1.0,Politics
